station,phylum,class,order,family,taxa,rep.a,rep.b,rep.c,total,
BI-CC11,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis succinea,1,0,0,1,
BI-CC11,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,0,1,0,1,
BI-CC11,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais limicola,1,1,0,2,
BI-CC11,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma bioculatum,0,1,0,1,
BI-CC11,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),12,4,12,28,
BI-CC11,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,0,1,0,1,
BI-CC11,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,2,1,4,
BI-CC11,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,2,1,3,
BI-CC11,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,1,5,4,10,
BI-CC11,Annelida,Polychaeta,Spionida,Spionidae,Polydora cornuta,2,0,0,2,
BI-CC11,Annelida,Polychaeta,Spionida,Spionidae,Prionospio perkinsi,0,0,2,2,
BI-CC11,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharetidae (LPIL),1,0,0,1,
BI-CC11,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca vadorum,0,1,0,1,
BI-CC11,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprellidae (LPIL),3,0,0,3,
BI-CC11,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,0,2,5,7,
BI-CC11,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,0,2,5,7,
BI-CC11,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Solenoceridae (LPIL),1,1,0,2,
BI-CC11,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,0,1,1,
BI-CC11,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,1,0,1,
BI-CC11,Echinodermata,Ophiuroidea,,,Ophiuroidea (LPIL),4,2,0,6,
BI-CC11,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),0,0,1,1,
BI-CC11,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),0,1,0,1,
BI-CC6,Mollusca,Bivalvia,Veneroida,Semelidae,Abra aequalis,0,1,0,1,
BI-ES22,Mollusca,Bivalvia,Veneroida,Semelidae,Abra aequalis,1,0,0,1,
BI-NDK8,Mollusca,Bivalvia,Veneroida,Semelidae,Abra aequalis,0,1,0,1,
BI-CC11,Mollusca,Gastropoda,Cephalaspidea,Scaphandridae,Acteocina canaliculata,1,0,0,1,
BI-CC11,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,3,0,0,3,
BI-CC11,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,0,5,6,11,
BI-CC11,Nemertea,,,,Nemertea (LPIL),0,2,1,3,
BI-CC11,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,2,2,4,
BI-CC12,Annelida,Clitellata,Tubificida,Naididae,Naididae (LPIL),3,6,0,9,
BI-CC12,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,2,2,0,4,
BI-CC12,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce (LPIL),0,0,1,1,
BI-CC12,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,6,1,8,
BI-CC12,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,11,0,11,
BI-CC12,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,5,4,1,10,
BI-CC12,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,1,0,1,
BI-CC12,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,1,6,2,9,
BI-CC12,Annelida,Polychaeta,Spionida,Spionidae,Spionidae (LPIL),0,0,1,1,
BI-CC12,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes bombyx,0,0,1,1,
BI-CC12,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprellidae (LPIL),1,0,0,1,
BI-CC12,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,2,1,0,3,
BI-CC12,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,0,1,1,
BI-CC12,Mollusca,Bivalvia,Venerida,Veneridae,Chione elevata,2,0,0,2,
BI-SDK1,Mollusca,Bivalvia,Veneroida,Semelidae,Abra aequalis,0,0,1,1,
BI-CC12,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius albus,0,0,1,1,
BI-CC12,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,0,4,3,7,
BI-CC12,Nemertea,,,,Nemertea (LPIL),0,1,0,1,
BI-CC12,Phoronida,,,Phoronidae,Phoronis (LPIL),0,0,1,1,
BI-CC13,Annelida,Clitellata,Tubificida,Naididae,Naididae (LPIL),1,0,0,1,
BI-CC13,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,1,0,0,1,
BI-CC13,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,0,0,2,2,
BI-CC13,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais limicola,0,1,0,1,
BI-CC13,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,7,6,13,
BI-CC13,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,2,2,5,
BI-CC13,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,0,2,0,2,
BI-CC13,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharetidae (LPIL),1,0,0,1,
BI-CC13,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Acanthohaustorius sp. C,0,1,0,1,
BI-CC13,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,1,1,2,
BI-CC13,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,2,5,2,9,
BI-CC13,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae (LPIL),1,0,0,1,
BI-CC13,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),1,0,1,2,
BI-CC11,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,5,0,4,9,
BI-CC13,Mollusca,Gastropoda,Cephalaspidea,Scaphandridae,Acteocina canaliculata,1,0,0,1,
BI-CC13,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,4,4,0,8,
BI-CC13,Nemertea,,,,Nemertea (LPIL),0,0,1,1,
BI-CC13,Phoronida,,,Phoronidae,Phoronis (LPIL),1,0,0,1,
BI-CC14,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),2,3,0,5,
BI-CC14,Annelida,Polychaeta,Scolecida,Travisiidae,Travisia hobsonae,1,0,0,1,
BI-CC14,Annelida,Polychaeta,Spionida,Spionidae,Apoprionospio pygmaea,1,0,0,1,
BI-CC14,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Americhelidium americanum,0,1,0,1,
BI-CC14,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,0,2,1,3,
BI-CC14,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,1,0,1,
BI-CC14,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),0,1,0,1,
BI-CC14,Echinodermata,Echinoidea,Clypeasteroida,Mellitidae,Encope (LPIL),1,0,0,1,
BI-CC14,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,1,2,
BI-CC14,Nemertea,,,,Nemertea (LPIL),0,0,1,1,
BI-CC15,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),1,3,0,4,
BI-CC15,Annelida,Polychaeta,Spionida,Spionidae,Spionidae (LPIL),0,1,0,1,
BI-CC15,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius jayneae,2,0,0,2,
BI-CC15,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Protohaustorius bousfieldi,1,0,0,1,
BI-CC15,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,1,0,2,
BI-CC15,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides hayi,0,1,0,1,
BI-CC15,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,2,0,0,2,
BI-CC15,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnotheridae (LPIL),1,1,0,2,
BI-CC15,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,1,1,1,3,
BI-CC15,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),0,1,0,1,
BI-CC15,Echinodermata,Echinoidea,Clypeasteroida,Mellitidae,Mellita isometra,1,0,0,1,
BI-CC15,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),0,0,1,1,
BI-CC12,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,1,2,2,5,
BI-CC15,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,2,0,3,
BI-CC16,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),0,0,1,1,
BI-CC16,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,0,1,0,1,
BI-CC16,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis hartmanae,1,0,0,1,
BI-CC16,Annelida,Polychaeta,Spionida,Magelonidae,Magelona papillicornis,0,0,1,1,
BI-CC16,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,4,1,3,8,
BI-CC13,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,0,2,1,3,
BI-CC17,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys picta,1,0,0,1,
BI-CC17,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,1,0,1,
BI-CC17,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Acanthohaustorius sp. C,3,1,4,8,
BI-CC17,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,2,0,0,2,
BI-CC17,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,1,0,3,4,
BI-CC17,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),0,1,1,2,
BI-CC17,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),0,0,3,3,
BI-CC17,Echinodermata,Echinoidea,Clypeasteroida,Mellitidae,Mellita isometra,2,0,0,2,
BI-CC6,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,0,1,1,2,
BI-CC9,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,1,0,0,1,
BI-CC5,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,1,1,0,2,
BI-CC5,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,0,0,1,
BI-CC5,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,1,1,0,2,
BI-CC5,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis hartmanae,0,1,0,1,
BI-CC5,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,0,0,1,1,
BI-CC5,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae (LPIL),1,1,0,2,
BI-CC5,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,0,1,0,1,
BI-CC5,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,1,0,0,1,
BI-CC5,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,2,7,0,9,
BI-CC5,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,0,0,1,
BI-CC5,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,2,3,2,7,
BI-CC5,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,1,0,0,1,
BI-CC5,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),1,1,0,2,
BI-CC5,Mollusca,Bivalvia,Myoida,Corbulidae,Caryocorbula contracta,0,0,1,1,
BI-ES18,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,0,1,0,1,
BI-CC5,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,0,2,0,2,
BI-CC5,Nemertea,,,,Nemertea (LPIL),0,1,2,3,
BI-CC6,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,3,4,8,
BI-CC6,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,2,0,0,2,
BI-CC6,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae (LPIL),0,1,0,1,
BI-CC6,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus ambiseta,5,10,5,20,
BI-CC6,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,4,2,7,
BI-CC6,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,2,0,0,2,
BI-CC6,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,7,2,2,11,
BI-CC6,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,1,0,0,1,
BI-CC6,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,4,0,1,5,
BI-CC6,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus (LPIL),1,0,0,1,
BI-CC6,Arthropoda,Malacostraca,Mysida,Mysidae,Americamysis almyra,0,1,0,1,
BI-CC6,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,1,0,1,
BI-CC6,Mollusca,Bivalvia,Myoida,Corbulidae,Caryocorbula contracta,1,0,0,1,
BI-CC6,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),0,1,0,1,
BI-HN1,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,1,0,0,1,
BI-HN2,Mollusca,Bivalvia,Veneroida,Tellinidae,Angulus versicolor,0,3,3,6,
BI-WS3,Mollusca,Bivalvia,Veneroida,Semelidae,Cumingia coarctata,0,1,0,1,
BI-WS8,Mollusca,Bivalvia,Veneroida,Semelidae,Cumingia coarctata,1,0,1,2,
BI-CC6,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,5,0,0,5,
BI-CC6,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,2,1,1,4,
BI-CC6,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,0,1,1,
BI-CC7,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,0,0,1,
BI-CC7,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,1,0,1,
BI-CC7,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,0,2,3,
BI-CC7,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,1,0,0,1,
BI-CC7,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae (LPIL),1,0,0,1,
BI-CC7,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,1,0,1,
BI-CC7,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,4,2,3,9,
BI-CC7,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,2,5,7,14,
BI-CC7,Annelida,Polychaeta,Spionida,Spionidae,Polydora caulleryi,1,1,0,2,
BI-CC7,Annelida,Polychaeta,Spionida,Spionidae,Prionospio perkinsi,0,0,3,3,
BI-CC7,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,0,1,0,1,
BI-CC7,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,3,2,1,6,
BI-CC7,Arthropoda,Malacostraca,Decapoda,Processidae,Processidae (LPIL),0,0,1,1,
BI-CC7,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,0,1,1,
BI-CC7,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,0,1,1,
BI-CC7,Echinodermata,Ophiuroidea,,,Ophiuroidea (LPIL),3,1,0,4,
BI-CC7,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),0,0,1,1,
BI-WS8,Mollusca,Bivalvia,Veneroida,Cardiidae,Dinocardium robustum,0,1,0,1,
BI-CC7,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Columbellidae (LPIL),0,0,1,1,
BI-CC7,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),1,0,0,1,
BI-CC7,Nemertea,,,,Nemertea (LPIL),0,0,1,1,
BI-CC8,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,0,1,5,6,
BI-CC8,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura delta,0,0,1,1,
BI-CC8,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia maculata,0,1,0,1,
BI-CC8,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,0,1,2,
BI-CC8,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesionidae (LPIL),0,0,1,1,
BI-CC8,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,2,3,5,
BI-CC8,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,1,0,1,
BI-CC8,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,0,0,1,1,
BI-CC8,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,3,1,1,5,
BI-CC8,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,1,0,1,
BI-CC8,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,0,1,4,5,
BI-CC8,Annelida,Polychaeta,Spionida,Spionidae,Spionidae (LPIL),1,0,0,1,
BI-CC8,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,0,1,1,
BI-CC8,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,0,0,1,
BI-CC8,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,0,2,5,7,
BI-CC8,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,1,2,3,
BI-CC8,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),1,0,4,5,
BS1,Mollusca,Bivalvia,Veneroida,Cardiidae,Dinocardium robustum,0,1,0,1,
BI-HN2,Mollusca,Bivalvia,Veneroida,Ungulinidae,Diplodonta semiaspera,0,0,1,1,
BI-CC8,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),1,0,4,5,
BI-CC8,Nemertea,,,,Nemertea (LPIL),1,1,1,3,
BI-CC9,Annelida,Clitellata,Tubificida,Naididae,Naididae (LPIL),0,0,1,1,
BI-CC9,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,1,0,0,1,
BI-CC9,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,0,1,0,1,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,2,0,0,2,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,1,1,1,3,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),0,1,0,1,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,3,0,3,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,1,2,5,8,
BI-CC9,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae (LPIL),1,0,0,1,
BI-CC9,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),1,3,6,10,
BI-CC9,Annelida,Polychaeta,Spionida,Chaetopteridae,Chaetopterus variopedatus,1,0,0,1,
BI-CC9,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,2,1,6,9,
BI-CC9,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,4,11,10,25,
BI-CC9,Annelida,Polychaeta,Spionida,Spionidae,Polydora cornuta,0,0,1,1,
BI-CC9,Annelida,Polychaeta,Spionida,Spionidae,Prionospio perkinsi,3,1,0,4,
BI-CC9,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,2,3,0,5,
BI-CC9,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,2,1,4,
BI-CC9,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,0,1,0,1,
BI-CC9,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,5,3,0,8,
BI-CC9,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,1,0,0,1,
BI-CC9,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,1,0,1,
BI-CC9,Echinodermata,Ophiuroidea,,,Ophiuroidea (LPIL),1,9,1,11,
BI-CC9,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),1,0,1,2,
BI-CC9,Mollusca,Bivalvia,Venerida,Veneridae,Chione elevata,0,1,0,1,
BI-CC9,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),0,0,1,1,
BI-NDK4,Mollusca,Bivalvia,Veneroida,Ungulinidae,Diplodonta semiaspera,0,1,0,1,
BI-CC9,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,4,0,4,
BI-CC9,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),0,1,0,1,
BI-CC9,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,3,4,0,7,
BI-CC9,Nemertea,,,,Nemertea (LPIL),4,0,0,4,
BI-CC9,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,1,0,1,
BI-DK1,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),0,3,2,5,
BI-DK1,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,1,2,1,4,
BI-DK1,Annelida,Polychaeta,Scolecida,Paraonidae,Paraonis fulgens,0,0,1,1,
BI-DK1,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius jayneae,0,0,1,1,
BI-DK1,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,0,1,1,
BI-DK1,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,0,0,1,
BI-DK1,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,3,2,0,5,
BI-DK1,Echinodermata,Echinoidea,Clypeasteroida,Mellitidae,Encope (LPIL),0,1,0,1,
BI-SIP4,Mollusca,Bivalvia,Veneroida,Ungulinidae,Diplodonta semiaspera,0,0,1,1,
BI-DK1,Mollusca,Gastropoda,Pyramidellida,Pyramidellidae,Turbonilla (LPIL),0,1,0,1,
BI-DK1,Nemertea,,,,Nemertea (LPIL),0,0,1,1,
BI-DK11,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),1,0,0,1,
BI-DK11,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),0,1,0,1,
BI-DK11,Annelida,Polychaeta,Spionida,Spionidae,Spionidae (LPIL),0,0,1,1,
BI-DK11,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Acanthohaustorius sp. C,1,1,1,3,
BI-DK11,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius jayneae,8,0,0,8,
BI-DK11,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,0,0,1,
BI-DK11,Arthropoda,Malacostraca,Mysida,Mysidae,Bowmaniella dissimilis,0,1,0,1,
BI-DK11,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),1,1,1,3,
